2024-12-01 21:48:54 - Failed to create lead: {"success":false,"data":null,"additional_data":null,"error":"expected request body to be sent with application\/json content-type","error_info":"Please check developers.pipedrive.com for more information about Pipedrive API."}
2024-12-01 21:52:11 - Failed to create lead: {"success":false,"data":null,"additional_data":null,"error":"provided dataset is not valid","error_info":"Custom field validation failed. Error: Unknown custom field fd460d099264059d975249b20e071e05392f329d"}
2024-12-01 21:52:49 - Failed to create lead: {"success":false,"data":null,"additional_data":null,"error":"provided dataset is not valid","error_info":"Custom field validation failed. Error: Unknown custom field fd460d099264059d975249b20e071e05392f329d"}
2024-12-01 21:58:37 - Failed to create lead: {"success":false,"data":null,"additional_data":null,"error":"provided dataset is not valid","error_info":"Custom field validation failed. Error: Unknown custom field fd460d099264059d975249b20e071e05392f329d"}
2024-12-01 22:06:10 - Failed to create lead: {"success":false,"data":null,"additional_data":null,"error":"provided dataset is not valid","error_info":"Custom field validation failed. Error: Unknown custom field fd460d099264059d975249b20e071e05392f329d"}
2024-12-01 22:15:36 - Failed to create lead: {"success":false,"data":null,"additional_data":null,"error":"provided dataset is not valid","error_info":"\"value\" is not allowed"}
2024-12-01 22:16:29 - Failed to create person: {"success":false,"error":"Invalid field(s) in the payload: contact_type","error_info":"Please check developers.pipedrive.com for more information about Pipedrive API.","data":null,"additional_data":null}
2024-12-01 22:21:05 - Failed to create person: {"success":false,"error":"Invalid field(s) in the payload: contact_type","error_info":"Please check developers.pipedrive.com for more information about Pipedrive API.","data":null,"additional_data":null}
2024-12-01 22:25:59 - Failed to create person: {"success":false,"error":"Invalid field(s) in the payload: contact_type","error_info":"Please check developers.pipedrive.com for more information about Pipedrive API.","data":null,"additional_data":null}
2024-12-01 22:33:24 - Failed to create person: {"success":false,"error":"Invalid field(s) in the payload: contact_type","error_info":"Please check developers.pipedrive.com for more information about Pipedrive API.","data":null,"additional_data":null}
2024-12-01 22:34:06 - Failed to create person: {"success":false,"error":"Invalid field(s) in the payload: contact_type","error_info":"Please check developers.pipedrive.com for more information about Pipedrive API.","data":null,"additional_data":null}
2024-12-01 22:39:09 - Failed to create person: {"success":false,"error":"Invalid field(s) in the payload: contact_type","error_info":"Please check developers.pipedrive.com for more information about Pipedrive API.","data":null,"additional_data":null}
2024-12-01 22:40:32 - Failed to create person: {"success":false,"error":"Invalid field(s) in the payload: contact_type","error_info":"Please check developers.pipedrive.com for more information about Pipedrive API.","data":null,"additional_data":null}
2024-12-01 22:44:20 - Failed to create person: {"success":false,"error":"Invalid field(s) in the payload: contact_type","error_info":"Please check developers.pipedrive.com for more information about Pipedrive API.","data":null,"additional_data":null}
2024-12-01 22:45:36 - Failed to create person: {"success":false,"error":"Invalid field(s) in the payload: contact_type","error_info":"Please check developers.pipedrive.com for more information about Pipedrive API.","data":null,"additional_data":null}
2024-12-02 06:30:25 - Failed to create person: {"success":false,"error":"Invalid field(s) in the payload: contact_type","error_info":"Please check developers.pipedrive.com for more information about Pipedrive API.","data":null,"additional_data":null}
2024-12-02 06:33:37 - Failed to create person: {"success":false,"error":"Invalid field(s) in the payload: contact_type","error_info":"Please check developers.pipedrive.com for more information about Pipedrive API.","data":null,"additional_data":null}
2024-12-02 06:34:43 - Failed to create person: {"success":false,"error":"Invalid field(s) in the payload: contact_type","error_info":"Please check developers.pipedrive.com for more information about Pipedrive API.","data":null,"additional_data":null}
